"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2012","1,425.70","1,421.74","1,436.06","1,420.52","","0.28%"
"10/30/2012","1,421.75","1,431.90","1,439.39","1,419.66","","-0.71%"
"10/29/2012","1,431.90","1,433.51","1,434.69","1,422.34","","-0.11%"
"10/26/2012","1,433.52","1,446.00","1,446.22","1,424.50","","-0.86%"
"10/25/2012","1,446.00","1,451.61","1,459.73","1,444.51","","-0.39%"
"10/24/2012","1,451.61","1,455.31","1,463.09","1,437.39","","-0.25%"
"10/23/2012","1,455.31","1,474.91","1,475.48","1,451.11","","-1.33%"
"10/22/2012","1,474.92","1,460.04","1,476.09","1,451.60","","1.02%"
"10/19/2012","1,460.06","1,475.28","1,476.77","1,458.57","","-1.03%"
"10/18/2012","1,475.27","1,474.29","1,486.88","1,467.40","","0.07%"
"10/17/2012","1,474.30","1,456.07","1,478.12","1,454.02","","1.25%"
"10/16/2012","1,456.07","1,443.42","1,456.07","1,439.79","","0.88%"
"10/15/2012","1,443.42","1,446.01","1,456.25","1,440.53","","-0.18%"
"10/12/2012","1,446.01","1,463.15","1,463.96","1,440.65","","-1.17%"
"10/11/2012","1,463.12","1,460.91","1,468.62","1,453.61","","0.15%"
"10/10/2012","1,460.93","1,472.94","1,472.94","1,458.19","","-0.82%"
"10/09/2012","1,472.94","1,473.61","1,480.97","1,469.72","","-0.05%"
"10/08/2012","1,473.61","1,477.60","1,477.60","1,459.92","","-0.27%"
"10/05/2012","1,477.60","1,456.71","1,488.57","1,454.87","","1.43%"
"10/04/2012","1,456.74","1,472.50","1,478.52","1,451.95","","-1.07%"
"10/03/2012","1,472.50","1,485.61","1,485.61","1,469.80","","-0.88%"
"10/02/2012","1,485.63","1,490.21","1,492.01","1,478.56","","-0.31%"
"10/01/2012","1,490.21","1,458.30","1,491.30","1,452.53","","2.19%"
"09/28/2012","1,458.26","1,453.11","1,468.50","1,450.70","","0.36%"
"09/27/2012","1,453.09","1,445.39","1,459.55","1,438.44","","0.53%"
"09/26/2012","1,445.38","1,482.61","1,483.35","1,442.30","","-2.51%"
"09/25/2012","1,482.61","1,489.92","1,499.26","1,480.79","","-0.49%"
"09/24/2012","1,489.92","1,496.63","1,496.63","1,480.01","","-0.45%"
"09/21/2012","1,496.65","1,499.29","1,511.05","1,495.24","","-0.18%"
"09/20/2012","1,499.28","1,499.15","1,502.49","1,480.82","","0.01%"
"09/19/2012","1,499.12","1,515.30","1,527.86","1,489.74","","-1.07%"
"09/18/2012","1,515.30","1,530.37","1,539.39","1,513.75","","-0.98%"
"09/17/2012","1,530.36","1,535.38","1,539.58","1,520.01","","-0.33%"
"09/14/2012","1,535.38","1,472.60","1,541.70","1,472.59","","4.26%"
"09/13/2012","1,472.60","1,478.51","1,478.81","1,468.33","","-0.40%"
"09/12/2012","1,478.54","1,478.05","1,483.98","1,472.91","","0.03%"
"09/11/2012","1,478.05","1,478.83","1,479.00","1,465.93","","-0.05%"
"09/10/2012","1,478.83","1,474.58","1,479.61","1,464.90","","0.29%"
"09/07/2012","1,474.58","1,455.07","1,484.68","1,454.88","","1.34%"
"09/06/2012","1,455.07","1,421.62","1,456.92","1,420.73","","2.35%"
"09/05/2012","1,421.62","1,436.46","1,437.93","1,420.32","","-1.04%"
"09/04/2012","1,436.52","1,439.31","1,444.18","1,434.07","","-0.19%"
"09/03/2012","1,439.31","1,422.90","1,443.47","1,421.07","","1.15%"
"08/31/2012","1,422.91","1,429.82","1,438.93","1,417.79","","-0.48%"
"08/30/2012","1,429.82","1,437.12","1,441.57","1,425.21","","-0.51%"
"08/29/2012","1,437.14","1,450.81","1,459.92","1,437.09","","-0.94%"
"08/28/2012","1,450.81","1,448.55","1,458.06","1,443.96","","0.15%"
"08/27/2012","1,448.57","1,454.08","1,460.02","1,441.74","","-0.38%"
"08/24/2012","1,454.08","1,453.50","1,455.95","1,439.90","","0.04%"
"08/23/2012","1,453.50","1,446.81","1,470.75","1,446.27","","0.46%"
"08/22/2012","1,446.84","1,454.48","1,454.48","1,436.56","","-0.53%"
"08/21/2012","1,454.48","1,428.75","1,459.44","1,419.95","","1.80%"
"08/20/2012","1,428.75","1,444.26","1,448.34","1,421.66","","-1.07%"
"08/17/2012","1,444.27","1,451.85","1,460.60","1,443.92","","-0.52%"
"08/16/2012","1,451.87","1,448.34","1,458.59","1,442.81","","0.25%"
"08/15/2012","1,448.32","1,462.57","1,465.04","1,433.66","","-0.97%"
"08/14/2012","1,462.57","1,452.42","1,464.55","1,450.26","","0.70%"
"08/13/2012","1,452.42","1,441.88","1,467.19","1,441.88","","0.75%"
"08/10/2012","1,441.59","1,456.41","1,456.69","1,430.02","","-1.02%"
"08/09/2012","1,456.41","1,449.49","1,462.68","1,438.94","","0.48%"
"08/08/2012","1,449.49","1,450.81","1,453.90","1,438.85","","-0.09%"
"08/07/2012","1,450.74","1,439.34","1,451.58","1,433.24","","0.81%"
"08/06/2012","1,439.06","1,421.22","1,449.31","1,417.27","","1.25%"
"08/03/2012","1,421.28","1,395.31","1,422.82","1,391.96","","1.73%"
"08/02/2012","1,397.05","1,411.85","1,430.95","1,386.94","","-1.05%"
"08/01/2012","1,411.85","1,407.01","1,419.54","1,401.48","","0.34%"
"07/31/2012","1,407.02","1,428.62","1,432.43","1,402.05","","-1.51%"
"07/30/2012","1,428.62","1,406.30","1,431.17","1,406.30","","1.59%"
"07/27/2012","1,406.30","1,384.06","1,406.91","1,383.39","","1.61%"
"07/26/2012","1,384.06","1,367.67","1,385.44","1,358.58","","1.20%"
"07/25/2012","1,367.67","1,365.75","1,385.21","1,353.58","","0.14%"
"07/24/2012","1,365.75","1,372.95","1,382.93","1,359.00","","-0.53%"
"07/23/2012","1,372.97","1,415.38","1,416.40","1,367.71","","-3.00%"
"07/20/2012","1,415.38","1,434.49","1,435.62","1,413.92","","-1.33%"
"07/19/2012","1,434.47","1,426.29","1,444.85","1,426.29","","0.57%"
"07/18/2012","1,426.29","1,430.17","1,436.43","1,423.79","","-0.27%"
"07/17/2012","1,430.17","1,422.03","1,442.17","1,421.28","","0.57%"
"07/16/2012","1,422.03","1,416.48","1,423.86","1,412.98","","0.39%"
"07/13/2012","1,416.50","1,394.30","1,418.29","1,394.30","","1.59%"
"07/12/2012","1,394.30","1,405.15","1,406.63","1,379.11","","-0.77%"
"07/11/2012","1,405.15","1,422.58","1,422.58","1,396.72","","-1.23%"
"07/10/2012","1,422.58","1,414.64","1,433.56","1,401.96","","0.56%"
"07/09/2012","1,414.62","1,414.29","1,423.13","1,405.72","","0.02%"
